"ProteinID","C1_1","C1_2","C1_3","C2_1","C2_2","C2_3","C3_1","C3_2","C3_3","C4_1","C4_2","C4_3","C5_1","C5_2","C5_3","C6_1","C6_2","C6_3","log.ratios.C2.vs.C1","log.ratios.C3.vs.C1","log.ratios.C4.vs.C1","log.ratios.C5.vs.C1","log.ratios.C6.vs.C1","FDR.PolySTest.C2.vs.C1","FDR.PolySTest.C3.vs.C1","FDR.PolySTest.C4.vs.C1","FDR.PolySTest.C5.vs.C1","FDR.PolySTest.C6.vs.C1","FDR.limma.C2.vs.C1","FDR.limma.C3.vs.C1","FDR.limma.C4.vs.C1","FDR.limma.C5.vs.C1","FDR.limma.C6.vs.C1","FDR.Miss.test.C2.vs.C1","FDR.Miss.test.C3.vs.C1","FDR.Miss.test.C4.vs.C1","FDR.Miss.test.C5.vs.C1","FDR.Miss.test.C6.vs.C1","FDR.rank.products.C2.vs.C1","FDR.rank.products.C3.vs.C1","FDR.rank.products.C4.vs.C1","FDR.rank.products.C5.vs.C1","FDR.rank.products.C6.vs.C1","FDR.permutation.test.C2.vs.C1","FDR.permutation.test.C3.vs.C1","FDR.permutation.test.C4.vs.C1","FDR.permutation.test.C5.vs.C1","FDR.permutation.test.C6.vs.C1","FDR.t.test.C2.vs.C1","FDR.t.test.C3.vs.C1","FDR.t.test.C4.vs.C1","FDR.t.test.C5.vs.C1","FDR.t.test.C6.vs.C1"
"P60709",37.0266358709312,37.0162939267098,36.963442044444,36.7921706172942,37.0470999734909,36.9197206670147,36.7553338491138,36.8162160912609,36.730242868151,36.8515491643731,36.7428429049306,36.6252733085495,36.9197206670147,36.8162160912609,36.7047077760439,36.7921706172942,36.8515491643731,36.9526352894875,-0.0825,-0.2349,-0.2622,-0.1886,-0.1367,0.4343,0.0336,0.0122,0.0496,0.0631,0.2647,0.0084,0.0031,0.0124,0.0263,0.1086,0.0358,0.0351,0.0256,0.021,0.6773,0.2811,0.338,0.5743,0.691,0.684,0.0512,0.1259,0.9353,0.278,0.3252,0.007,0.0343,0.038,0.0275
"Q8WZ42",24.9494904773214,25.6485594637291,25.2280259766954,26.4613895158529,26.3778247992137,26.3118131598024,32.0895470192696,32.3904877762918,32.7926554753196,35.3369759915434,35.1827550728485,35.0348563777362,36.3908080549124,36.2741294258692,36.1901346032141,36.5339774745299,36.3987919991451,36.7553338491138,1.1083,7.1489,9.9095,11.0097,11.2873,0.0013,4.0561e-13,2.5805e-15,5.2226e-16,2.7827e-16,3e-04,1.014e-13,6.4514e-16,1.3056e-16,6.9568e-17,0.3325,0.0218,0.007,0.0022,0.0015,0.0014,8.443e-07,4.275e-07,3.3247e-06,2.8085e-06,0.036,0.0385,0.0323,0.0144,0.0086,0.1205,0.0011,0.0014,0.001,3e-04
"Q14315",34.6734568420594,34.7047077760439,34.6575738004528,34.9932772739848,34.9932772739848,34.9763041953811,35.5584183337932,35.5061620966618,35.5325268006612,35.9482898192115,35.9085801094095,35.811438950999,36.13766718332,36.1261715444821,36.0511581900653,36.1509640059334,36.1490719465922,36.2066018148029,0.309,0.8538,1.2109,1.4264,1.4903,0.001,4.598e-09,2.7052e-11,2.2222e-12,6.0297e-13,2e-04,1.1495e-09,6.763e-12,5.5556e-13,1.5074e-13,1,1,1,1,1,0.1941,0.0114,0.0063,0.0055,0.0054,0.0244,0.2053,0.0323,0.0144,0.0086,0.059,6e-04,0.0025,5e-04,1e-04
"P14618",35.7503504415996,35.8608269779611,35.8209774653546,36.001689513801,35.9219384922645,36.0100529867356,35.9826925233436,35.9219384922645,36.0430303091819,35.7478522677444,35.7873130536449,35.8018369518877,35.7453497605412,35.6760870981041,35.7200830019308,35.8304533289176,35.8398673593255,35.8090444358586,0.1672,0.1718,-0.0317,-0.0969,0.0157,0.0744,0.0155,0.188,0.0696,0.5987,0.0186,0.0039,0.1677,0.0271,0.1549,1,1,1,1,1,0.5172,0.4796,0.7065,0.7098,0.5488,0.0525,0.0639,0.047,0.0232,0.2994,0.1069,0.0242,0.164,0.0359,0.1528
"P48681",35.2011336021634,35.0911245973829,35.1716145152433,35.0632647929219,35.1566253410239,35.0389491323701,35.1452803674298,35.1223192189865,34.9932772739848,35.2264764502778,35.2584193427806,35.0632647929219,35.5894452294138,35.5150039734136,35.3892059503159,35.6628876003492,35.6225486712129,35.8185987425719,-0.0683,-0.0677,0.0281,0.3433,0.5467,0.2722,0.1298,0.6287,0.0011,0,0.297,0.1813,0.2096,3e-04,2.5557e-06,1,1,1,1,1,0.6814,0.5852,0.684,0.2013,0.093,0.0681,0.0325,0.2108,0.0269,0.012,0.2673,0.1441,0.2309,0.0109,0.0031
"P17661",33.4334057542265,33.5866520145222,33.5527046825988,34.2264764502778,34.0989867151559,34.1452803674298,34.8375196044691,34.7799959033481,34.730242868151,35.0511581900653,35.1107001357197,34.9848156952366,35.5091154140511,35.5002372627047,35.3730862849527,35.6143437483912,35.6917687203364,35.7701816135211,0.6327,1.2583,1.5246,1.9366,2.1678,0,1.7726e-09,6.0819e-11,2.1136e-12,3.0198e-13,8.3113e-06,4.4315e-10,1.5205e-11,5.2839e-13,7.5495e-14,0.1392,0.0024,0.4097,0.0356,0.0015,0.0189,0.0022,0.0026,0.0024,0.0017,0.0244,0.3455,0.0442,0.019,0.0086,0.059,0.0016,0.0011,3e-04,2e-04
"P68032",33.8422112997938,33.8973528539863,34.3633273184903,34.5866520145222,32.0050407233006,34.5866520145222,34.1300136107765,33.9677421818777,34.2827838911798,32.6565086877865,34.3436090838758,34.7701816135211,35.0832193992976,35.3135170187194,35.5977925721274,35.6575738004528,35.6575738004528,35.4427034988086,-0.3082,0.0925,-0.1109,1.2972,1.5517,1,1,0.8195,0.0323,0.0165,0.3829,0.334,0.2398,0.0174,0.0057,0.74,1,0.4097,1,1,1,0.758,1,0.0108,0.0055,0.9845,0.4567,0.9793,0.0232,0.0146,0.445,0.2488,0.2689,0.0058,0.0036
"P11055",21.0019578972156,22.0258046391699,21.1764556284477,19.110442527494,21.3100801925779,19.9742129067327,21.3645279766003,21.3962368363276,21.3751752207998,30.3087790997127,29.8279009732341,29.9399971913948,34.5754247590989,34.369840625449,34.3567844726236,35.5894452294138,35.4550080087117,35.6088477606364,-1.2698,-0.0228,8.6242,13.0326,14.1497,0.084,0.7071,1.2114e-10,8.1953e-13,1.3878e-13,0.021,0.3536,3.0285e-11,2.0488e-13,3.4696e-14,1,1,0.0123,0.0022,0.0015,0.6378,1,3.1961e-06,4.3809e-07,4.4331e-07,0.9915,0.199,0.0386,0.0144,0.0086,0.2375,0.3232,0.0022,0.0014,9e-04
"Q15149",34.7750971039353,34.7352960958773,34.7047077760439,34.8746327774862,34.8746327774862,34.7897438798997,35.0989867151559,35.0672778554286,35.1300136107765,35.3600596046564,35.3795557802822,35.2372028568709,35.4853178428689,35.411475114157,35.411475114157,35.535426691167,35.4942879963735,35.5697781959578,0.108,0.3604,0.5872,0.6977,0.7948,0.0976,1e-04,2.2414e-07,1.886e-08,2.4857e-09,0.0971,0,5.6035e-08,4.7149e-09,6.2142e-10,1,1,1,1,1,0.6096,0.1923,0.0712,0.0452,0.0351,0.0244,0.0662,0.0615,0.0144,0.012,0.1412,0.0026,0.0051,6e-04,2e-04
"P35579",35.3202585965984,35.3101343793247,35.3369759915434,35.3763246590192,35.3892059503159,35.2654227305183,35.5061620966618,35.4611211324383,35.4240476995282,35.3892059503159,35.3665876476539,35.1716145152433,35.2443097433651,35.1490719465922,35.13766718332,35.2619252862821,35.2084199562419,35.3665876476539,0.0212,0.1413,-0.0133,-0.1454,-0.0435,1,0.0745,0.9489,0.0686,0.4475,0.4288,0.0336,0.2372,0.0172,0.1119,1,1,1,1,1,0.7922,0.5194,0.7407,0.6361,0.6235,0.9461,0.0248,0.6141,0.0521,0.7615,0.416,0.0217,0.2647,0.0246,0.1076
