"Protein.IDs","Gene.names","LFQ.intensity_Day-1_Rep1","LFQ.intensity_Day-1_Rep2","LFQ.intensity_Day-1_Rep3","LFQ.intensity_Day0_Rep1","LFQ.intensity_Day0_Rep2","LFQ.intensity_Day0_Rep3","LFQ.intensity_Day1_Rep1","LFQ.intensity_Day1_Rep2","LFQ.intensity_Day1_Rep3","LFQ.intensity_Day2_Rep1","LFQ.intensity_Day2_Rep2","LFQ.intensity_Day2_Rep3","LFQ.intensity_Day3_Rep1","LFQ.intensity_Day3_Rep2","LFQ.intensity_Day3_Rep3","LFQ.intensity_Day4_Rep1","LFQ.intensity_Day4_Rep2","LFQ.intensity_Day4_Rep3"
"A0AVT1","UBA6",2589150000,2560160000,2499750000,2549830000,2906620000,2533310000,2731750000,2606410000,2650460000,2650360000,2509360000,2392300000,2381880000,2265650000,2204430000,2373600000,2213540000,2470830000
"A0FGR8","ESYT2",2162540000,2012490000,2071030000,2363300000,2525810000,2494340000,2305130000,2450760000,2393810000,2313480000,2383130000,2404190000,2242210000,2272890000,2456550000,2139690000,2199780000,2219560000
"A0PJZ3","GXYLT2",11937000,NA,NA,NA,NA,NA,NA,19762000,37697000,74819000,59984000,47690000,62230000,47891000,40649000,86933000,76043000,98266000
"A1L0T0","ILVBL",853910000,781230000,804570000,916260000,853680000,892520000,828240000,850880000,918820000,877630000,904070000,902830000,832920000,885140000,939990000,859220000,799990000,817990000
"A1X283","SH3PXD2B",856790000,944270000,814410000,832170000,895090000,761400000,762630000,810290000,685750000,777220000,672390000,667160000,663690000,674980000,646700000,658550000,659960000,725850000
"A2A3N6;Q99755","PIPSL;PIP5K1A",66855000,81471000,40492000,15022000,56830000,NA,21727000,19850000,NA,46493000,37402000,10844000,NA,NA,NA,NA,NA,NA
"A2RRP1","NBAS",287195000,221922000,228902000,273548000,266561000,285173000,253510000,248868000,260775000,251629000,269945000,296572000,237784000,281220000,294952000,306730000,280797000,292954000
"A4UGR9","XIRP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,36378000,26099800,20320300,127344000,130869000,156917000,96439000,121957000,120027000
"A5YKK6","CNOT1",1015140000,1052860000,1064880000,1124880000,1124650000,1006840000,1037900000,992810000,1113930000,1060250000,1039970000,1076730000,957540000,969180000,1004500000,931870000,893850000,849740000
"A6NDG6","PGP",294673000,361630000,379090000,321651000,253312000,365310000,368800000,345640000,361420000,292389000,370750000,380620000,358346000,326110000,392180000,416440000,316918000,366300000
"A6NDU8","C5orf51",38201000,94560000,132381000,42830000,85712000,NA,87911000,132487000,38124000,43611000,135217000,47151000,82827000,NA,39559000,33796000,NA,35533000
"A6NFI3","ZNF316",NA,1931600,NA,1807800,NA,6237800,5734500,6005500,7297300,4075000,5696200,5115200,3584800,9108100,8414200,4169800,10332700,9738500
"A6NHR9","SMCHD1",356620000,414120000,367080000,353710000,312276000,355810000,387110000,371030000,399170000,298463000,297237000,360340000,274163000,224718000,218743000,176090000,213443000,208598000
"A7E2V4","ZSWIM8",1142600,9149200,9909500,11713900,3585210,7519600,8084900,2810100,8216000,1550100,7595100,11072700,1855800,10249400,9485900,4411300,9555200,6252000
"A7E2Y1","MYH7B",66658000,20189000,57073000,39009000,59900000,40616000,44633000,58291000,39513000,57322000,38983000,40211000,51913000,52148000,50583000,60534000,33330000,47637000
"A8CG34;Q6PJE2;A6NF01","POM121C",131995000,109525000,101470000,NA,76422000,105761000,122003000,184471000,62650000,166875000,131260000,157292000,54498000,94842000,NA,151902000,141447000,123995000
"C4AMC7;Q6VEQ5;A8K0Z3;A8MWX3","WASH3P;WASH2P;WASH1;WASH4P",251016000,273222000,253596000,281702000,318280000,273947000,344130000,354979000,284375000,342488000,282033000,227424000,315810000,275563000,257479000,322938000,307915000,327808000
"C9JLW8","FAM195B",317730000,312416000,306884000,313044000,336050000,344350000,219815000,248540000,217375000,206109000,269513000,269388000,253276000,246354000,215633000,228394000,1.37e+08,229963000
"E7EW31","PROB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,45931000,NA,NA,175505000,213586000,159131000,39291000,41448000,44284000
"E9PAV3;Q13765;Q9BZK3","NACA",8177600000,9519900000,8620600000,7188800000,8188300000,7247800000,4954200000,5013100000,4602600000,2.1111e+10,20128600000,17596800000,3.9024e+10,3.5144e+10,3.2562e+10,3.6878e+10,3.493e+10,3.8644e+10
"L0R6Q1","SLC35A4",211073000,197834000,222364000,211138000,153158000,226348000,200143000,194492000,198749000,91369000,108910000,171841000,173115000,103208000,46027000,161848000,167585000,110436000
"O00116","AGPS",1638610000,1701130000,1566240000,1720120000,1942310000,1773530000,1913910000,1898320000,1965960000,2078810000,2123330000,1963360000,2036880000,1933420000,2073550000,2130660000,2074260000,2151890000
"O00139","KIF2A",445720000,435920000,480550000,398730000,400280000,346130000,390930000,411360000,380800000,501360000,509140000,401880000,585580000,513900000,470280000,574090000,553450000,614360000
"O00148","DDX39A",1000620000,898310000,916590000,847860000,935140000,789690000,768940000,784460000,859210000,767690000,724850000,531860000,601050000,509710000,446730000,516690000,466380000,534460000
"O00151","PDLIM1",3469900000,3445900000,3235970000,3189600000,3560400000,3328500000,3.545e+09,3490100000,3.1e+09,3052770000,2971660000,2559390000,2820640000,2483050000,2459990000,3210700000,3110300000,3448700000
"O00154","ACOT7",2077090000,1781940000,1.77e+09,1911080000,2100320000,1791490000,1544980000,1571250000,1539450000,1503710000,1481920000,1267290000,1610330000,1313890000,1526770000,1491060000,1335660000,1462280000
"O00159","MYO1C",8646400000,8495200000,8147300000,8846400000,9.211e+09,8446700000,10397900000,10348900000,1.0302e+10,10790600000,10332800000,9811200000,9603200000,8.858e+09,8665100000,9513700000,9053700000,10093500000
"O00161","SNAP23",442390000,421360000,489770000,398880000,366630000,321089000,484480000,438630000,391820000,343180000,389150000,396370000,340170000,312437000,280906000,316418000,285189000,256479000
"O00170","AIP",1382130000,1278200000,1226900000,1399360000,1499400000,1299400000,1305710000,1377620000,1243150000,1218700000,1218740000,1061640000,1045690000,1022150000,1.03e+09,968770000,1029910000,998790000
"O00178","GTPBP1",288778000,340890000,380270000,389010000,364940000,434640000,361840000,359880000,394110000,403280000,421400000,422520000,442040000,449650000,449740000,402010000,411480000,429870000
"O00186","STXBP3",313981000,325163000,360680000,331620000,294404000,279133000,349976000,362760000,383390000,285714000,277298000,267746000,234979000,216974000,230637000,251044000,211687000,231880000
"O00193","SMAP",533230000,425450000,500510000,445980000,350280000,472730000,527540000,577020000,533330000,452920000,395871000,430800000,242619000,254045000,212012000,244516000,239847000,228728000
"O00203;Q13367","AP3B1",2868870000,2858810000,2770620000,2922840000,2860510000,2827280000,2579550000,2533250000,2688950000,2589600000,2637690000,2673100000,2589500000,2473430000,2602750000,2318280000,2370050000,2193430000
"O00217","NDUFS8",93690000,53373000,54896000,126551000,112140000,109977000,138812000,142099000,133156000,129154000,112518000,118759000,140092000,126392000,140029000,142809000,175787000,152114000
"O00231","PSMD11",9209100000,9387800000,9028500000,8290100000,8517900000,7641700000,8737100000,8621900000,8367600000,8783200000,8788700000,7448700000,9.26e+09,8225600000,8295900000,9319700000,8637800000,9.05e+09
"O00232","PSMD12",2856040000,2800690000,2703710000,2826900000,2856630000,2808690000,2737370000,2647940000,2797530000,2696230000,2814790000,2914300000,2902290000,2932130000,2837810000,3141980000,2991040000,3001310000
"O00233","PSMD9",831310000,754670000,906120000,751080000,957380000,869180000,797510000,879030000,749950000,849060000,855140000,824060000,877300000,835390000,713220000,806100000,753770000,774570000
"O00244","ATOX1",1064960000,1366780000,1573340000,1536810000,1579420000,1711050000,1414760000,1486700000,1407860000,1244710000,1259770000,1360430000,1316660000,1192320000,1315870000,1447270000,1178810000,1217440000
"O00264","PGRMC1",1931090000,2229100000,2371160000,2616090000,2864650000,2423930000,2607700000,2647690000,2423850000,2615650000,2354110000,1937330000,2115200000,1828350000,1954070000,2153690000,1897210000,2026610000
"O00267","SUPT5H",955550000,959480000,912260000,928390000,1030990000,850330000,963900000,944080000,909610000,877970000,999330000,846380000,912810000,821500000,779110000,762650000,735180000,723680000
"O00273","DFFA",763530000,713830000,728350000,756220000,716950000,791980000,760260000,671580000,778100000,703270000,669390000,649990000,575150000,579800000,574290000,583320000,536270000,575160000
"O00291","HIP1",244020000,203764000,260883000,462680000,504790000,412230000,787550000,796640000,745690000,1858460000,1676380000,1595570000,1959600000,1860740000,1761930000,1278210000,1127940000,1296100000
"O00299","CLIC1",10542600000,10950200000,11203900000,9905400000,9935300000,8888500000,11576900000,10952600000,10295300000,9572500000,9666600000,8537300000,7.66e+09,7365200000,7172100000,7248800000,6820200000,7701400000
"O00303","EIF3F",4939100000,4765100000,5018900000,4107400000,4523200000,4168100000,3.834e+09,4011100000,3757800000,4030600000,3927800000,3430400000,4266900000,3974500000,3811400000,4058800000,3827400000,4269500000
"O00330","PDHX",174107000,145700000,142414000,88358000,168449000,183667000,181598000,205301000,118962000,200480000,182837000,193920000,241290000,177133000,184386000,202456000,193781000,217858000
"O00399","DCTN6",421620000,385560000,369070000,437950000,459480000,410910000,422140000,364300000,380760000,433050000,401950000,321740000,493440000,352350000,421680000,386280000,401070000,387967000
"O00401","WASL",174665000,135331000,133944000,115322000,188316000,130303000,172444000,196477000,163637000,163874000,169415000,184517000,156674000,49742000,140106000,81389000,165048000,41924000
"O00410","IPO5",15775500000,14351700000,14303300000,14157700000,15205500000,14935600000,13629900000,13725200000,13409300000,13802500000,13145500000,12995700000,12693300000,12031500000,1.2092e+10,11125400000,11316600000,11913400000
"O00422","SAP18",276856000,84592000,148330000,NA,220970000,154250000,60844000,343260000,228530000,245510000,225170000,450450000,200948000,172270000,47465000,116480000,165053000,179900000
"O00423","EML1",23763000,NA,NA,81547000,NA,27281000,115796000,108076000,112259000,106944000,102031000,61511000,95379000,30942000,69640000,62149000,36692000,73847000
"O00425","IGF2BP3",2819780000,2754380000,2762170000,2672900000,2820550000,2501390000,2316140000,2364250000,2358140000,1859980000,1861120000,1736870000,1622990000,1485870000,1505360000,1304490000,1305580000,1.289e+09
"O00429","DNM1L",3152020000,3162090000,3026400000,3102900000,3268800000,3204700000,3388700000,3227580000,3191800000,2963990000,2870350000,2862330000,2592810000,2525770000,2608530000,2400680000,2374970000,2173170000
"O00442","RTCA",550230000,522280000,563730000,523080000,489330000,595940000,562520000,500460000,611340000,575090000,542080000,809340000,549090000,619760000,755050000,637760000,701690000,570970000
"O00459;Q92569","PIK3R2",16994000,43159000,21006000,19669000,85515000,14532000,15548000,NA,18820000,42718000,49953000,20342000,17365000,38061000,NA,NA,NA,NA
"O00461","GOLIM4",640100000,593680000,588380000,681350000,597300000,561530000,309175000,284860000,274219000,245905000,277450000,261878000,405360000,322680000,293026000,385090000,341238000,431640000
"O00468","AGRN",39038000,NA,NA,82027000,NA,NA,NA,NA,75030000,94478000,52176000,107228000,267965000,237190000,291339000,378780000,296428000,302993000
"O00469","PLOD2",8572800000,8120300000,7973300000,8400700000,8984400000,8.612e+09,5635500000,5562200000,5.539e+09,4064800000,3640100000,3.485e+09,3018010000,2784020000,3014490000,3243100000,3378700000,3395400000
"O00471","EXOC5",258469000,287609000,245133000,216186000,241896000,276599000,250656000,248619000,226948000,276198000,260099000,250178000,242423000,283254000,258170000,296930000,308896000,322730000
"O00479","HMGN4",36342000,18899000,35034000,133687000,93246000,120860000,257790000,234478000,160107000,260360000,121508000,157340000,244841000,168520000,146878000,192098000,131118000,96417000
"O00483","NDUFA4",642790000,690090000,722440000,974250000,807390000,873760000,956320000,977990000,1092350000,927530000,1062750000,1058350000,845930000,764840000,742460000,647320000,603700000,662470000
"O00487","PSMD14",2800280000,2517610000,2432700000,2548970000,2728920000,2526320000,2655380000,2549720000,2642490000,2767530000,2898950000,2289490000,2960190000,2369280000,2504520000,3037460000,2844620000,3045730000
"O00499","BIN1",1944400000,1618840000,1683910000,2554820000,2563540000,2457620000,3243900000,3158200000,3108100000,6971800000,6.524e+09,6854800000,12091600000,11670700000,10918100000,1.2473e+10,12072700000,13092600000
"O00505","KPNA3",1592640000,1534600000,1684530000,1436330000,1533730000,1520710000,1286220000,1220790000,1355920000,1200880000,1123050000,1222050000,1107790000,1162690000,1256210000,1164980000,1181640000,1108320000
"O00506","STK25",196745000,204527000,185350000,127304000,188536000,152938000,158605000,157448000,133287000,139832000,162704000,161772000,165390000,86944000,87591000,133275000,88905000,191346000
"O00534","VWA5A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50909000,83758000,123721000,114490000,148091000,188078000,138631000
