"PROBEID","ENTREZID","SYMBOL","GSM894405_HD1.CEL","GSM894406_HD2.CEL","GSM894407_HD3.CEL","GSM894408_MM1.CEL","GSM894409_MM2.CEL","GSM894410_MM3.CEL","GSM894411_MM4.CEL"
"1053_at","5982","RFC2","6.54013831438913","6.73833757341228","7.23436109403917","5.32564120749955","6.12479333426763","5.68604594502014","4.82336496308586"
"121_at","7849","PAX8","7.14299834942051","7.3631832843525","6.7069870835116","6.96742636633186","6.54626040823859","6.7972392576823","6.71017267001647"
"1405_i_at","6352","CCL5","2.74547851297597","2.65695174044377","3.02670831699944","7.62865533028003","2.8683222305702","4.7319934089185","4.2889240978524"
"1431_at","1571","CYP2E1","3.03150585577397","3.10229781514775","2.7526424075744","3.08196447206882","3.39447119540217","3.05899117131067","3.11427197414867"
"1438_at","2049","EPHB3","5.14231325425959","4.60360657552482","4.11126036606154","4.77442376052516","4.69322635720964","4.58640164083472","4.5282994713529"
"1552257_a_at","23170","TTLL12","6.88587221378377","7.05801414657177","6.9691825747326","6.8017536892915","7.1116256550017","6.71626287953911","6.92264894586225"
"1552258_at","112597","CYTOR","5.76124999630436","6.02374696996332","6.50550257618564","4.14499516492821","4.31125924938321","5.06994533273586","4.31356126718453"
"1552261_at","10406","WFDC2","3.49826411218414","3.37826475789721","2.9085070437543","3.47538450943938","3.29567349518257","3.2080200059754","3.51110835401604"
"1552263_at","5594","MAPK1","4.63122972446767","4.49298214962199","4.59330449635406","4.51662018764831","5.06527468022191","4.83480277357024","4.33865667225571"
"1552266_at","203102","ADAM32","3.63241415880419","3.68125395314033","3.29567349518257","3.64222446207537","3.64222446207537","3.64222446207537","3.75769498380458"
"1552271_at","163154","PRR22","4.96882394448885","4.90173307718019","4.75732182477788","4.90173307718019","4.90173307718019","4.55475749735381","4.35500614340038"
"1552274_at","54899","PXK","7.74874751839921","6.95125509453549","7.52365014399117","7.43697517238738","8.08513670139668","7.3943811407573","8.27697596854838"
"1552277_a_at","91283","MSANTD3","7.72036158855632","7.74705727305262","7.9006282696305","7.67144758240664","7.68156846853276","7.68156846853276","7.4846203970265"
"1552280_at","91937","TIMD4","2.91664339320221","2.85325491238062","2.92459677425671","2.66879384257884","2.85325491238062","2.74077936540074","2.85325491238062"
"1552281_at","283375","SLC39A5","6.38687172190554","5.93127351106505","5.84916482830812","6.25071640999582","5.88025172768238","5.7872754452012","6.02261743877551"
"1552286_at","90423","ATP6V1E2","5.0376962128989","4.75001429356539","5.16079454260043","5.0757409344409","5.17621003881788","5.13700083423469","4.8843975898717"
"1552289_a_at","148113","CILP2","4.17818025993373","3.86494059703987","3.44544449330701","3.80464719377312","3.69467020012955","3.40005290622839","3.64185117347399"
