row ID,row m/z,row retention time,row identity (main ID),120.mzXML Peak area,108.mzXML Peak area,114.mzXML Peak area,116.mzXML Peak area,122.mzXML Peak area,124.mzXML Peak area,138.mzXML Peak area,136.mzXML Peak area,142.mzXML Peak area,144.mzXML Peak area,146.mzXML Peak area,140.mzXML Peak area,
2,130.1587749476561,0.10409445,,832.27356,0,1357.7124,884.80286,0,840.9584,579.371,0,1015.0127,0,0,0,
5,923.0118145790319,0.13794583,,2851.813,2893.43,0,0,0,0,0,0,0,2223.9766,0,3363.0356,
6,122.05312557738183,0.16257381,,0,0,3725.0225,2762.3496,0,1565.9434,0,2138.7212,0,4204.9785,1285.3445,3507.1572,
7,130.15866054731913,0.187575,,0,667.3359,839.5375,1679.3108,1705.3066,0,848.37726,974.80383,0,0,1181.1212,1228.1228,
8,922.0098010002722,0.19020371,,0,0,25270.047,27519.492,26866.3,10502.01,15529.9795,8638.382,16411.453,11860.77,0,17811.004,
9,121.05093473671822,0.20117727,Purine: 0.983,32309.139,24608.23,66752.08,38354.36,37048.883,23894.336,39684.777,47813.875,40259.895,0,49371.906,45211.46,
11,121.05093786142095,0.3451375,Purine: 0.982,0,19780.848,0,0,0,72004.305,0,0,24652.88,0,0,26614.307,
12,922.0098008921035,0.3708569,,30565.371,23875.0,11950.826,25410.037,18132.9,16343.0625,24209.688,30899.492,18196.615,21412.432,20395.783,20614.672,
13,130.15874083867973,0.41237408,,1192.719,0,0,597.3909,1619.1759,832.5458,877.23303,0,951.30133,1804.2141,831.9686,558.546,
16,923.0118868710482,0.46558666,,0,0,0,2648.0767,5610.762,0,4079.381,5575.324,0,3911.465,0,0,
19,130.15883179582593,0.5132119,,656.3572,0,0,0,0,0,705.4951,2051.0115,869.0809,966.43604,633.1835,960.85065,
20,121.0509179667099,0.5307818,Purine: 0.988,38299.01,23940.19,74973.62,34320.133,54179.023,0,62849.17,28033.896,29695.559,82388.2,27661.79,50164.2,
22,121.05093381084828,0.60413665,Purine: 0.983,58502.734,37510.94,0,23755.785,43125.32,0,35979.344,30949.346,20084.377,76635.56,52879.34,45537.676,
23,922.0098009966982,0.6120764,,23983.799,15650.755,10044.263,8579.415,18352.637,14786.032,12227.043,15269.221,28735.877,10151.714,14724.168,19155.447,
24,130.15872732186205,0.6578854,,785.00995,0,908.87885,0,878.4702,1190.7178,577.46625,1222.2611,0,0,836.9681,1080.8855,
25,923.0118919564658,0.77037495,,0,1026.0287,0,0,0,711.3025,0,1493.1421,2373.1418,2058.4175,2768.7273,0,
26,121.05093800441924,0.79101455,Purine: 0.982,0,17775.232,0,23435.54,0,66664.82,39436.406,21855.975,60949.5,0,19992.898,69983.66,
27,122.05315224882257,0.81315833,,1206.4598,0,2931.133,0,4222.753,4382.9834,6299.3228,1510.0397,1286.4486,2691.4126,0,0,
28,922.0098018060571,0.8483267,,8786.1045,7438.3677,11968.285,16618.057,0,0,17893.225,0,0,0,0,0,
30,130.1587117048652,0.89794004,,0,0,0,1284.9437,1978.8157,2104.4321,485.45898,0,0,0,470.9914,0,
31,121.0509158485469,0.911825,Purine: 0.988,36842.836,18197.477,55778.164,23150.2,0,19714.803,21095.887,83842.1,0,27040.588,0,0,
37,130.15873313029314,0.93535,,741.2788,0,1809.3711,1317.8025,0,0,491.38428,1953.4526,1571.2852,1113.0643,739.7937,2062.1091,
47,922.0098009716262,0.96669847,,12310.807,4731.2217,12791.373,8589.915,27404.086,18235.26,8129.036,22490.352,42216.793,10870.016,0,37282.875,
48,923.0119784313658,1.0874542,,0,0,0,0,1645.1338,0,1729.5651,3392.24,0,0,3892.504,0,
49,122.05308466777392,1.1108708,,0,0,0,1955.3468,0,0,2814.3813,0,0,0,1705.5919,2522.2249,
50,121.05091660404135,1.1576473,Purine: 0.988,44075.4,20214.387,30315.281,52712.91,102678.71,43120.473,45488.125,34336.824,37941.24,51913.062,49247.3,38887.87,
51,922.0098017389748,1.1623877,,15892.852,4036.3313,11997.103,14474.315,13033.207,7479.054,15944.482,10351.358,0,21127.156,38407.785,18132.867,
52,121.05096660630628,1.1785291,Purine: 0.974,0,0,30414.43,33209.195,0,0,0,0,0,33741.24,35265.145,0,
54,130.15873770749914,1.1935533,,988.14954,0,1501.7686,644.861,662.2736,1263.3928,1056.7944,0,720.97253,2033.4214,568.9731,1150.0177,
62,613.0026298697703,1.2763214,,179.14433,0,166.48036,0,141.99002,134.94385,140.13553,141.28568,0,0,136.88611,0,
63,152.06911421757354,1.2767167,Acetaminophen: 0.673,0,0,0,412.71237,0,388.9439,0,0,0,456.11395,229.043,186.84335,
65,87.05505404483003,1.2784958,,0,0,323.9744,0,233.53496,227.065,424.38586,270.1508,0,256.5429,324.66946,557.1789,
67,480.9610053577693,1.2787765,,492.75766,377.6483,0,428.83502,0,0,0,0,694.026,642.3024,0,0,
69,431.1021136411267,1.2798111,Coumestrin: 0.626,176.03363,259.19003,152.90445,221.23831,143.99803,324.62952,0,0,355.73538,307.2901,160.3105,0,
70,114.06590619098594,1.2800499,Creatinine: 0.918,0,0,984.69055,0,703.3999,779.4129,1301.5171,888.447,0,788.938,1081.576,1888.621,
71,90.05514935449929,1.2810482,beta-Alanine: 0.928,0,0,464.68024,264.6835,303.93524,341.8849,615.63257,434.1131,0,395.221,498.40884,793.0603,
