	Protein Inference	Main Accession	Description	Protein Group	Secondary Accessions	Chromosome	Gene Name	Taxonomy	Organism Identifier	Validated Coverage [%]	All Coverage [%]	Possible Coverage [%]	#Peptides	#Validated Peptides	#Unique Peptides	#Validated Unique Peptides	#PSMs	#Validated PSMs	Confidently Localized Modification Sites	#Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Spectrum Counting	MW [kDa]	Confidence [%]	Validation
1	Related Proteins	ALDOA_RABIT		ALDOA_RABIT,P04075,P04075-2	P04075,P04075-2					8.61	15.0	66.67	4	2	3	2	4	3					5.875141843558514	38.833063161842446	100.0	Confident
2	Related Proteins	OAS_antibody_pep_20712		OAS_antibody_pep_20712,OAS_antibody_pep_6217	OAS_antibody_pep_6217					100.0	100.0	100.0	4	3	4	3	14	10	Oxidation of M (M14)	Oxidation of M (1)			371.061590119485	2.20398193098955	100.0	Confident
3	Related Proteins	ALBU_HUMAN		ALBU_HUMAN,P02768	P02768					85.55	89.33	82.27	428	359	29	24	4819	4010	Oxidation of M (M110, M146, M321, M352, M469, M571);Pyrolidone from E (R104, N153, T266, L274, K299, A314, V316, D319, D398, A472, K523, K587);Pyrolidone from Q (L54, Q55, K116, K412, N481, K548);Pyrolidone from carbamidomethylated C (M146, C268, H311, K382, C383, N414, P470, K498, P509)	Oxidation of M (6);Pyrolidone from E (12);Pyrolidone from Q (6);Pyrolidone from carbamidomethylated C (9)			5386.13303142999	69.32149565531074	100.0	Confident
4	Single Protein	OAS_antibody_pep_30332		OAS_antibody_pep_30332						100.0	100.0	100.0	1	1	1	1	1	1					44.06356382668885	1.68186351302569	89.47368421052632	Doubtful
5	Single Protein	P08571	Monocyte differentiation antigen CD14 (CD14_HUMAN)	P08571		5	CD14	Homo sapiens	9606	17.33	30.4	54.93	8	4	8	4	13	10					30.801714519627158	40.05074509293502	100.0	Confident
6	Single Protein	P23142-4	Isoform C of Fibulin-1 (FBLN1_HUMAN)	P23142-4		22	FBLN1	Homo sapiens	9606	9.08	9.08	47.73	7	7	2	2	10	10	Pyrolidone from carbamidomethylated C (R107)	Pyrolidone from carbamidomethylated C (1)			14.057087846551044	74.38391210130051	100.0	Confident
7	Single Protein	P02652	Apolipoprotein A-II (APOA2_HUMAN)	P02652		1	APOA2	Homo sapiens	9606	70.0	70.0	88.0	38	32	38	32	172	143	Oxidation of M (M48);Phosphorylation of S (S31);Pyrolidone from E (K25);Pyrolidone from carbamidomethylated C (P27)	Oxidation of M (1);Phosphorylation of S (1);Pyrolidone from E (1);Pyrolidone from carbamidomethylated C (1)			1129.6295453751143	11.167897359001579	100.0	Confident
8	Related Proteins	Q14520	Hyaluronan-binding protein 2 (HABP2_HUMAN)	Q14520,Q14520-2	Q14520-2	10	HABP2	Homo sapiens	9606	24.46	24.46	40.36	13	13	13	13	22	22					68.62997551767467	62.630442110671844	100.0	Confident
9	Single Protein	OAS_antibody_pep_73026		OAS_antibody_pep_73026						100.0	100.0	100.0	4	2	1	1	4	3					55.65923851792275	2.25902075902642	91.22807017543859	Confident
10	Related Proteins	A0A075B6R2	Immunoglobulin heavy variable 4-4 (HV404_HUMAN)	A0A075B6R2,OAS_antibody_pep_11830,OAS_antibody_pep_20458,OAS_antibody_pep_23019,OAS_antibody_pep_28104,OAS_antibody_pep_49241,OAS_antibody_pep_56284,OAS_antibody_pep_67436	OAS_antibody_pep_11830,OAS_antibody_pep_20458,OAS_antibody_pep_23019,OAS_antibody_pep_28104,OAS_antibody_pep_49241,OAS_antibody_pep_56284,OAS_antibody_pep_67436	14	IGHV4-4	Homo sapiens	9606	17.95	17.95	56.41	2	2	1	1	2	2					16.023114118795945	12.83961451455017	95.08196721311475	Confident
11	Single Protein	P10643	Complement component C7 (CO7_HUMAN)	P10643		5	C7	Homo sapiens	9606	36.3	37.25	63.58	30	26	30	26	63	58	Oxidation of M (M636, M744);Pyrolidone from Q (K417)	Oxidation of M (2);Pyrolidone from Q (1)			72.34316449157872	93.45728914128765	100.0	Confident
12	Single Protein	P58166	Inhibin beta E chain (INHBE_HUMAN)	P58166		12	INHBE	Homo sapiens	9606	3.43	3.43	67.71	1	1	1	1	4	4					11.89902145530838	38.53696200892125	87.3015873015873	Doubtful
13	Related Proteins	B2MG_HUMAN		B2MG_HUMAN,P61769	P61769					37.82	37.82	88.24	3	3	3	3	15	13					87.28782167572649	13.705910892344148	100.0	Confident
14	Single Protein	OAS_antibody_pep_81383		OAS_antibody_pep_81383						100.0	100.0	100.0	1	1	1	1	1	1					47.00113474846811	1.61979437083671	100.0	Doubtful
15	Single Protein	O00187	Mannan-binding lectin serine protease 2 (MASP2_HUMAN)	O00187		1	MASP2	Homo sapiens	9606	11.37	11.37	61.66	5	5	1	1	8	6					10.000241435844279	75.65362281213257	100.0	Confident
16	Single Protein	OAS_antibody_pep_5944		OAS_antibody_pep_5944						100.0	100.0	100.0	3	2	3	2	3	2	Oxidation of M (M6)	Oxidation of M (1)			128.18491295036756	1.34869215469764	96.49122807017544	Confident
17	Single Protein	P23142	Fibulin-1 (FBLN1_HUMAN)	P23142		22	FBLN1	Homo sapiens	9606	10.95	10.95	49.36	7	7	2	2	15	13	Pyrolidone from carbamidomethylated C (R107)	Pyrolidone from carbamidomethylated C (1)			19.30161873676284	77.16235154041979	100.0	Confident
18	Single Protein	OAS_antibody_pep_58461		OAS_antibody_pep_58461						100.0	100.0	100.0	4	4	2	2	5	5	Pyrolidone from E (E0)	Pyrolidone from E (1)			96.88830408675442	1.95203270360911	98.24561403508771	Confident
19	Single Protein	P15085	Carboxypeptidase A1 (CBPA1_HUMAN)	P15085		7	CPA1	Homo sapiens	9606	6.21	16.71	67.78	6	2	6	2	6	3					4.964908600190293	47.11077996179659	99.67845659163987	Doubtful
20	Single Protein	OAS_antibody_pep_40381		OAS_antibody_pep_40381						100.0	100.0	100.0	1	1	1	1	2	2					88.1271276533777	1.7788297703692602	91.07142857142857	Doubtful
